127.0.0.1 - - [08/Sep/2017:11:12:27 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [08/Sep/2017:11:12:51 +0900] "GET /kosta/index.html HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [08/Sep/2017:11:12:54 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Sep/2017:11:42:44 +0900] "GET /kosta/index.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [08/Sep/2017:11:42:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Sep/2017:11:47:31 +0900] "GET /kosta/index.html HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [08/Sep/2017:11:48:25 +0900] "GET /kosta/index.html HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [08/Sep/2017:11:52:13 +0900] "GET /kosta/index.html HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [08/Sep/2017:11:54:31 +0900] "GET /kosta/index.html HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [08/Sep/2017:11:55:28 +0900] "GET /kosta/index.html HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:04:45 +0900] "GET /kosta/index.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:05:00 +0900] "GET /kosta/index.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:05:07 +0900] "GET /kosta/index.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:06:10 +0900] "GET /kosta/index.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:08:40 +0900] "GET /kosta/index.html HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:09:38 +0900] "GET /kosta/index.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:10:00 +0900] "GET /kosta/index.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:10:20 +0900] "GET /kosta/index.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:10:48 +0900] "GET /kosta/index.html HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:10:58 +0900] "GET /kosta/index.html HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:12:24 +0900] "GET /kosta/index.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:13:00 +0900] "GET /kosta/index.html HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:13:00 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:13:58 +0900] "GET /kosta/index.html HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:15:24 +0900] "GET /kosta/index.html HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:16:32 +0900] "GET /kosta/index.html HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:16:34 +0900] "GET /kosta/www.daum.net HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:17:05 +0900] "GET /kosta/index.html HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:17:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:18:37 +0900] "GET /kosta/index.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:18:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:34:56 +0900] "GET /kosta/index.html HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:34:56 +0900] "GET /kosta/images/jung1.jpg HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:34:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:36:09 +0900] "GET /kosta/index.html HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:36:09 +0900] "GET /kosta/images/jung1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:36:09 +0900] "GET /kosta/images/jung2.jpg HTTP/1.1" 200 7227
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:36:09 +0900] "GET /kosta/images/jung3.jpg HTTP/1.1" 200 7390
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:36:09 +0900] "GET /kosta/images/park1.jpg HTTP/1.1" 200 4193
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:36:09 +0900] "GET /kosta/images/park2.jpg HTTP/1.1" 200 8409
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:36:09 +0900] "GET /kosta/images/park3.jpg HTTP/1.1" 200 4941
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:36:09 +0900] "GET /kosta/images/leemi2.jpg HTTP/1.1" 200 7803
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:36:09 +0900] "GET /kosta/images/leemi1.jpg HTTP/1.1" 200 6646
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:36:09 +0900] "GET /kosta/images/kuku1.jpg HTTP/1.1" 200 10590
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:39:06 +0900] "GET /kosta/index.html HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:39:06 +0900] "GET /kosta/images/jung1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:39:06 +0900] "GET /kosta/images/jung2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:39:06 +0900] "GET /kosta/images/jung3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:39:06 +0900] "GET /kosta/images/park1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:39:06 +0900] "GET /kosta/images/park2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:12:39:06 +0900] "GET /kosta/images/park3.jpg HTTP/1.1" 304 -
